,unique_foods,input_number,avg_daily_food,avg_proportions_diff,Protein_positive_difference,Protein_negative_difference,Protein_none_difference,Calories_positive_difference,Calories_negative_difference,Calories_none_difference,Sodium_positive_difference,Sodium_negative_difference,Sodium_none_difference,Sugar_positive_difference,Sugar_negative_difference,Sugar_none_difference,Fat_positive_difference,Fat_negative_difference,Fat_none_difference,Carbs_positive_difference,Carbs_negative_difference,Carbs_none_difference,Fiber_positive_difference,Fiber_negative_difference,Fiber_none_difference,Protein_avg,Calories_avg,Sodium_avg,Sugar_avg,Fat_avg,Carbs_avg,Fiber_avg
804,114,38,3.0,54.6578947368421,36,1,1,27,11,0,21,17,0,0,0,38,31,7,0,18,20,0,24,13,1,34.28947368421053,1052.0263157894738,1763.6052631578948,0.0,28.842105263157894,170.1315789473684,22.44736842105263
805,15,8,1.875,411.625,8,0,0,7,1,0,7,1,0,8,0,0,7,1,0,8,0,0,0,0,8,36.0,1078.25,1255.625,24.625,23.625,78.0,0.0
806,203,26,7.8076923076923075,70.76923076923077,25,1,0,24,2,0,23,2,1,18,6,2,13,12,1,21,5,0,0,0,26,49.0,1232.1538461538462,1371.8846153846155,48.92307692307692,50.69230769230769,155.07692307692307,0.0
807,17,4,4.25,53.0,3,1,0,4,0,0,0,0,4,4,0,0,3,1,0,4,0,0,4,0,0,35.75,679.0,0.0,14.75,37.0,38.0,7.5
808,459,109,4.2110091743119265,40.15596330275229,60,49,0,50,58,1,51,58,0,36,71,2,33,73,3,70,39,0,0,0,109,82.65137614678899,1356.3577981651376,2505.908256880734,44.68807339449541,61.39449541284404,124.88990825688073,0.0
809,1847,179,10.318435754189943,241.2513966480447,169,8,2,106,72,1,156,22,1,0,0,179,130,42,7,77,100,2,116,57,6,90.02793296089385,1677.2737430167597,1547.0614525139665,0.0,48.03351955307262,169.35754189944134,24.854748603351954
810,43,14,3.0714285714285716,26.285714285714285,11,3,0,14,0,0,14,0,0,10,3,1,14,0,0,13,1,0,0,0,14,42.42857142857143,744.3571428571429,868.4285714285714,38.5,24.785714285714285,83.42857142857143,0.0
811,92,12,7.666666666666667,79.58333333333333,6,6,0,5,7,0,7,5,0,3,9,0,5,6,1,5,7,0,0,0,12,72.91666666666667,1636.75,2766.3333333333335,81.33333333333333,60.666666666666664,195.41666666666666,0.0
812,466,85,5.482352941176471,199.14117647058825,71,14,0,81,3,1,40,45,0,65,19,1,65,19,1,84,1,0,0,0,85,76.18823529411765,1578.1411764705883,2952.9176470588236,61.082352941176474,56.2,160.03529411764706,0.0
813,301,99,3.04040404040404,52.84848484848485,73,26,0,99,0,0,88,11,0,94,5,0,89,8,2,99,0,0,0,0,99,80.28282828282828,1080.040404040404,1403.6868686868686,36.14141414141414,39.77777777777778,98.62626262626263,0.0
814,110,19,5.7894736842105265,18.894736842105264,19,0,0,19,0,0,12,7,0,19,0,0,18,1,0,19,0,0,0,0,19,58.473684210526315,808.421052631579,1566.0526315789473,28.526315789473685,23.526315789473685,92.21052631578948,0.0
815,471,63,7.476190476190476,359.63492063492066,42,21,0,27,36,0,42,21,0,51,12,0,28,34,1,46,17,0,0,0,63,67.31746031746032,1629.6666666666667,1923.5238095238096,36.15873015873016,51.87301587301587,142.06349206349208,0.0
816,71,16,4.4375,767.125,0,0,16,13,3,0,0,0,16,16,0,0,12,4,0,16,0,0,16,0,0,0.0,1748.125,0.0,36.625,52.75,126.5625,16.125
817,280,116,2.413793103448276,82.46551724137932,114,2,0,75,41,0,52,64,0,46,69,1,43,72,1,39,77,0,0,0,116,74.37931034482759,1660.3706896551723,2453.448275862069,90.84482758620689,69.71551724137932,185.18965517241378,0.0
818,30,2,15.0,5.5,1,1,0,1,1,0,1,1,0,0,0,2,2,0,0,1,1,0,1,1,0,56.0,989.0,2129.0,0.0,22.5,142.0,24.5
819,293,90,3.2555555555555555,83.17777777777778,87,3,0,90,0,0,61,29,0,0,0,90,73,16,1,90,0,0,90,0,0,46.5,999.6444444444444,1722.0777777777778,0.0,41.82222222222222,99.41111111111111,10.833333333333334
820,341,55,6.2,74.18181818181819,52,3,0,37,18,0,42,13,0,0,0,55,31,24,0,18,36,1,39,12,4,73.18181818181819,1377.3636363636363,1691.4545454545455,0.0,49.58181818181818,165.3272727272727,23.29090909090909
821,12,2,6.0,18.0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,35.0,709.5,899.5,42.0,29.5,71.5,0.0
822,46,19,2.4210526315789473,85.78947368421052,19,0,0,19,0,0,16,3,0,19,0,0,13,5,1,19,0,0,0,0,19,93.63157894736842,815.4736842105264,1339.7894736842106,15.894736842105264,27.473684210526315,69.6842105263158,0.0
823,367,57,6.43859649122807,48.59649122807018,49,8,0,51,5,1,0,0,57,0,0,57,47,9,1,41,16,0,0,0,57,60.78947368421053,1146.7368421052631,0.0,0.0,32.35087719298246,152.03508771929825,0.0
824,200,41,4.878048780487805,114.21951219512195,31,10,0,34,7,0,20,21,0,33,8,0,21,18,2,37,4,0,0,0,41,78.0,1474.780487804878,2312.3658536585367,45.292682926829265,67.92682926829268,140.65853658536585,0.0
825,122,30,4.066666666666666,57.03333333333333,30,0,0,30,0,0,17,13,0,0,0,30,30,0,0,30,0,0,21,8,1,71.03333333333333,946.5,2025.3,0.0,39.4,88.16666666666667,18.8
826,52,5,10.4,34.4,5,0,0,5,0,0,0,0,5,0,0,5,2,3,0,5,0,0,0,5,0,77.2,1557.2,0.0,0.0,48.4,211.8,38.4
827,54,9,6.0,69.55555555555556,8,1,0,9,0,0,7,2,0,0,0,9,9,0,0,9,0,0,9,0,0,57.333333333333336,924.0,1716.7777777777778,0.0,29.555555555555557,106.88888888888889,14.444444444444445
828,20,1,20.0,59.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,208.0,2149.0,0.0,81.0,62.0,175.0,0.0
829,297,28,10.607142857142858,84.60714285714286,16,11,1,12,15,1,0,0,28,11,17,0,8,19,1,17,11,0,0,0,28,73.96428571428571,1311.4285714285713,0.0,60.892857142857146,42.107142857142854,159.57142857142858,0.0
830,12,1,12.0,180.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,19.0,835.0,1696.0,46.0,19.0,102.0,0.0
831,17,4,4.25,670.5,1,3,0,4,0,0,3,1,0,0,0,4,4,0,0,0,0,4,4,0,0,144.25,1540.0,1570.5,0.0,32.5,0.0,15.25
832,21,10,2.1,108.9,10,0,0,10,0,0,0,0,10,10,0,0,10,0,0,8,2,0,10,0,0,31.9,586.0,0.0,14.4,19.5,47.8,4.5
833,359,101,3.5544554455445545,140.1089108910891,96,5,0,87,14,0,0,0,101,0,0,101,56,43,2,93,8,0,96,3,2,57.54455445544554,1570.7326732673268,0.0,0.0,60.227722772277225,178.47524752475246,14.623762376237623
834,589,126,4.674603174603175,103.17460317460318,89,36,1,114,12,0,85,40,1,49,75,2,108,18,0,122,3,1,0,0,126,49.08730158730159,1139.952380952381,2091.222222222222,41.785714285714285,37.98412698412698,145.5873015873016,0.0
835,114,46,2.4782608695652173,240.91304347826087,13,33,0,45,1,0,36,10,0,46,0,0,0,0,46,46,0,0,46,0,0,99.5,938.7391304347826,1830.2173913043478,12.630434782608695,0.0,74.95652173913044,20.32608695652174
836,127,22,5.7727272727272725,58.13636363636363,13,9,0,15,6,1,22,0,0,16,6,0,7,15,0,21,1,0,0,0,22,59.59090909090909,1087.409090909091,570.0909090909091,26.09090909090909,45.18181818181818,97.81818181818181,0.0
837,613,85,7.211764705882353,93.12941176470588,49,36,0,26,59,0,0,0,85,0,0,85,39,43,3,46,38,1,56,27,2,59.10588235294118,1362.8235294117646,0.0,0.0,44.68235294117647,158.8470588235294,19.223529411764705
838,53,10,5.3,399.3,10,0,0,10,0,0,0,0,10,10,0,0,0,0,10,9,1,0,9,0,1,50.7,1306.5,0.0,24.0,0.0,176.1,18.1
839,29,3,9.666666666666666,22.666666666666668,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,2,1,0,63.0,779.3333333333334,0.0,22.333333333333332,28.666666666666668,67.0,16.333333333333332
840,274,57,4.807017543859649,69.29824561403508,45,11,1,55,2,0,32,25,0,41,16,0,36,21,0,56,1,0,0,0,57,60.0,1146.8245614035088,2280.6491228070176,49.78947368421053,49.0,112.89473684210526,0.0
841,28,8,3.5,24.25,6,2,0,7,1,0,8,0,0,4,4,0,5,3,0,7,1,0,0,0,8,34.625,862.375,1361.625,38.125,35.625,102.125,0.0
842,257,39,6.589743589743589,176.7948717948718,38,1,0,29,10,0,19,20,0,0,0,39,22,17,0,27,11,1,32,7,0,62.743589743589745,1600.0,2388.871794871795,0.0,61.205128205128204,177.97435897435898,16.82051282051282
843,653,174,3.7528735632183907,104.48275862068965,115,57,2,103,71,0,0,0,174,0,0,174,73,96,5,117,56,1,173,0,1,60.98850574712644,1338.4655172413793,0.0,0.0,50.02873563218391,151.35632183908046,10.586206896551724
844,232,53,4.377358490566038,109.16981132075472,49,4,0,47,6,0,0,0,53,0,0,53,41,12,0,41,11,1,22,27,4,76.81132075471699,1631.2641509433963,0.0,0.0,47.905660377358494,213.32075471698113,42.698113207547166
845,287,73,3.9315068493150687,167.91780821917808,63,10,0,72,1,0,62,11,0,73,0,0,68,4,1,73,0,0,0,0,73,91.8082191780822,1431.9178082191781,1176.3013698630136,25.84931506849315,52.9041095890411,116.38356164383562,0.0
846,94,14,6.714285714285714,111.5,12,2,0,13,1,0,7,7,0,10,4,0,11,3,0,14,0,0,0,0,14,81.64285714285714,1705.0714285714287,2400.9285714285716,70.71428571428571,58.0,189.71428571428572,0.0
847,173,50,3.46,33.86,50,0,0,48,2,0,31,19,0,38,12,0,44,5,1,27,22,1,0,0,50,68.78,1430.3,2005.34,70.36,49.36,177.88,0.0
848,43,9,4.777777777777778,279.1111111111111,6,3,0,8,1,0,0,0,9,9,0,0,1,8,0,4,5,0,0,0,9,55.22222222222222,1299.2222222222222,0.0,25.555555555555557,48.77777777777778,92.88888888888889,0.0
849,109,32,3.40625,52.75,28,3,1,30,2,0,24,8,0,25,7,0,25,7,0,24,8,0,0,0,32,47.6875,1045.0625,1503.4375,46.5,35.9375,137.1875,0.0
850,108,22,4.909090909090909,106.31818181818181,15,7,0,10,12,0,19,3,0,3,19,0,15,7,0,10,12,0,0,0,22,62.36363636363637,1489.5,1286.7272727272727,77.13636363636364,47.18181818181818,181.77272727272728,0.0
851,274,76,3.6052631578947367,32.63157894736842,73,3,0,74,2,0,67,9,0,57,19,0,73,3,0,73,3,0,0,0,76,40.223684210526315,863.6052631578947,1272.921052631579,48.23684210526316,26.657894736842106,116.84210526315789,0.0
852,20,4,5.0,76.0,4,0,0,4,0,0,4,0,0,1,3,0,4,0,0,4,0,0,0,0,4,38.5,671.75,902.25,44.75,26.25,88.5,0.0
853,300,72,4.166666666666667,41.013888888888886,41,30,1,71,1,0,30,42,0,25,46,1,43,27,2,63,9,0,0,0,72,79.08333333333333,1453.4166666666667,2465.1111111111113,70.83333333333333,52.513888888888886,160.44444444444446,0.0
854,58,22,2.6363636363636362,48.63636363636363,22,0,0,18,4,0,18,4,0,13,8,1,16,5,1,19,3,0,0,0,22,29.40909090909091,811.3181818181819,1321.5,40.59090909090909,29.772727272727273,99.4090909090909,0.0
855,214,33,6.484848484848484,108.51515151515152,25,8,0,32,1,0,0,0,33,31,1,1,21,9,3,28,4,1,6,27,0,144.5151515151515,1406.5454545454545,0.0,50.696969696969695,38.39393939393939,146.6060606060606,31.181818181818183
856,733,126,5.817460317460317,191.6031746031746,118,8,0,79,47,0,113,13,0,87,36,3,67,56,3,85,40,1,0,0,126,38.19047619047619,1367.3253968253969,1430.3492063492063,46.801587301587304,50.94444444444444,153.5793650793651,0.0
857,484,179,2.7039106145251397,211.48603351955308,164,15,0,167,12,0,162,16,1,0,0,179,164,13,2,155,24,0,0,0,179,54.07821229050279,1368.0167597765362,1210.4189944134077,0.0,30.363128491620113,172.25698324022346,0.0
858,348,139,2.5035971223021583,274.36690647482015,126,12,1,119,19,1,133,6,0,0,0,139,114,23,2,115,21,3,138,0,1,59.35251798561151,1571.6402877697842,1082.4892086330935,0.0,42.30935251798561,170.94244604316546,12.97841726618705
859,124,42,2.9523809523809526,37.333333333333336,41,1,0,42,0,0,0,0,42,0,0,42,38,4,0,37,5,0,41,0,1,35.69047619047619,667.9047619047619,0.0,0.0,46.42857142857143,31.404761904761905,7.309523809523809
860,417,102,4.088235294117647,89.68627450980392,71,29,2,56,46,0,0,0,102,51,48,3,23,77,2,72,29,1,90,12,0,65.23529411764706,1215.2058823529412,0.0,44.77450980392157,49.40196078431372,133.40196078431373,14.627450980392156
861,16,3,5.333333333333333,46.666666666666664,3,0,0,3,0,0,0,0,3,1,2,0,3,0,0,2,1,0,2,0,1,5.666666666666667,347.6666666666667,0.0,43.0,2.3333333333333335,87.66666666666667,16.0
862,300,65,4.615384615384615,136.53846153846155,64,1,0,55,10,0,52,13,0,0,0,65,59,6,0,34,31,0,64,1,0,44.89230769230769,1010.5846153846154,1044.753846153846,0.0,34.93846153846154,102.24615384615385,9.692307692307692
863,65,17,3.823529411764706,60.411764705882355,14,3,0,17,0,0,16,1,0,17,0,0,17,0,0,17,0,0,0,0,17,38.64705882352941,682.3529411764706,734.0588235294117,25.352941176470587,19.58823529411765,79.11764705882354,0.0
864,14,3,4.666666666666667,12.0,3,0,0,3,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,0,0,21.333333333333332,657.3333333333334,0.0,0.0,35.333333333333336,63.333333333333336,6.666666666666667
865,418,79,5.291139240506329,255.9873417721519,73,5,1,49,30,0,66,13,0,60,18,1,40,37,2,61,18,0,0,0,79,48.40506329113924,1398.8987341772151,1347.886075949367,45.70886075949367,45.18987341772152,145.79746835443038,0.0
866,307,63,4.873015873015873,65.26984126984127,52,11,0,53,10,0,39,24,0,50,10,3,44,16,3,57,6,0,0,0,63,48.23809523809524,1109.079365079365,1972.7777777777778,35.74603174603175,41.20634920634921,129.52380952380952,0.0
867,111,22,5.045454545454546,106.27272727272727,22,0,0,21,1,0,20,2,0,0,0,22,17,5,0,17,5,0,0,0,22,32.90909090909091,808.2272727272727,1099.1818181818182,0.0,30.227272727272727,76.68181818181819,0.0
868,100,12,8.333333333333334,60.166666666666664,11,1,0,4,8,0,10,2,0,1,11,0,7,4,1,4,8,0,0,0,12,45.416666666666664,1718.3333333333333,1765.8333333333333,145.25,55.5,254.5,0.0
869,539,172,3.133720930232558,66.47674418604652,81,88,3,168,4,0,142,30,0,130,40,2,164,6,2,145,27,0,0,0,172,64.88953488372093,982.1162790697674,1607.953488372093,46.23837209302326,27.36046511627907,122.3546511627907,0.0
870,548,77,7.116883116883117,202.87012987012986,66,11,0,28,49,0,0,0,77,0,0,77,30,47,0,46,31,0,0,0,77,61.506493506493506,1352.844155844156,0.0,0.0,43.714285714285715,131.07792207792207,0.0
871,37,19,1.9473684210526316,47.36842105263158,19,0,0,19,0,0,19,0,0,19,0,0,19,0,0,19,0,0,0,0,19,13.947368421052632,369.42105263157896,411.42105263157896,9.473684210526315,12.157894736842104,40.26315789473684,0.0
872,430,92,4.673913043478261,238.97826086956522,92,0,0,92,0,0,83,9,0,92,0,0,91,1,0,92,0,0,0,0,92,66.29347826086956,1534.1630434782608,1219.5434782608695,54.30434782608695,46.81521739130435,157.0,0.0
873,209,28,7.464285714285714,53.285714285714285,21,7,0,19,9,0,17,11,0,22,6,0,15,13,0,25,3,0,0,0,28,48.857142857142854,1111.392857142857,1744.2142857142858,35.357142857142854,48.964285714285715,121.96428571428571,0.0
874,86,12,7.166666666666667,35.083333333333336,11,1,0,11,1,0,11,1,0,4,8,0,11,1,0,9,3,0,0,0,12,47.833333333333336,1082.3333333333333,1348.0,67.16666666666667,33.083333333333336,154.66666666666666,0.0
875,327,46,7.108695652173913,47.67391304347826,42,3,1,45,0,1,44,2,0,31,15,0,40,6,0,40,6,0,0,0,46,63.630434782608695,883.1086956521739,819.304347826087,53.97826086956522,24.91304347826087,105.28260869565217,0.0
876,522,86,6.069767441860465,146.2093023255814,71,15,0,62,24,0,73,13,0,61,24,1,63,22,1,60,26,0,0,0,86,83.95348837209302,1468.7441860465117,1420.1744186046512,53.116279069767444,44.86046511627907,152.62790697674419,0.0
877,537,78,6.884615384615385,62.73076923076923,68,9,1,70,8,0,34,44,0,0,0,78,58,20,0,71,6,1,60,18,0,108.75641025641026,1515.5,2596.75641025641,0.0,52.38461538461539,151.56410256410257,19.58974358974359
878,425,67,6.343283582089552,157.56716417910448,58,8,1,42,15,10,0,0,67,41,23,3,56,10,1,44,23,0,66,0,1,58.17910447761194,1137.7014925373135,0.0,45.014925373134325,42.46268656716418,96.55223880597015,10.507462686567164
879,445,85,5.235294117647059,64.01176470588236,73,10,2,67,18,0,0,0,85,0,0,85,41,40,4,57,28,0,0,0,85,90.08235294117647,1348.0941176470587,0.0,0.0,55.470588235294116,120.25882352941177,0.0
880,1306,162,8.061728395061728,185.59876543209876,119,40,3,83,79,0,0,0,162,0,0,162,31,127,4,133,28,1,148,9,5,66.82716049382717,1626.70987654321,0.0,0.0,65.45679012345678,153.6604938271605,15.938271604938272
881,178,34,5.235294117647059,36.911764705882355,34,0,0,34,0,0,28,6,0,34,0,0,26,7,1,28,6,0,0,0,34,79.05882352941177,1115.5294117647059,1619.4117647058824,32.44117647058823,45.73529411764706,101.94117647058823,0.0
882,742,152,4.881578947368421,179.7434210526316,139,13,0,71,80,1,0,0,152,0,0,152,35,116,1,95,56,1,0,0,152,106.25,2925.875,0.0,0.0,120.9342105263158,333.64473684210526,0.0
883,23,3,7.666666666666667,103.33333333333333,3,0,0,2,1,0,0,0,3,1,2,0,2,1,0,2,1,0,1,2,0,52.333333333333336,1343.0,0.0,75.0,55.666666666666664,148.0,21.666666666666668
884,285,72,3.9583333333333335,1434.013888888889,69,3,0,58,11,3,45,27,0,66,6,0,68,4,0,68,4,0,0,0,72,59.125,2435.5833333333335,2030.5277777777778,40.958333333333336,40.291666666666664,106.73611111111111,0.0
885,380,73,5.205479452054795,486.1917808219178,0,0,73,42,31,0,39,34,0,39,31,3,37,35,1,47,25,1,0,0,73,0.0,1760.2739726027398,2196.3835616438355,66.26027397260275,61.80821917808219,179.53424657534248,0.0
886,797,155,5.141935483870967,85.52258064516128,142,9,4,134,21,0,0,0,155,0,0,155,137,16,2,77,75,3,147,7,1,108.56129032258065,1905.2193548387097,0.0,0.0,131.32258064516128,60.619354838709675,10.748387096774193
887,501,179,2.798882681564246,95.10055865921788,41,132,6,54,124,1,16,163,0,0,0,179,44,130,5,59,117,3,0,0,179,201.5754189944134,2687.513966480447,3159.787709497207,0.0,96.87150837988827,275.122905027933,0.0
888,9,2,4.5,109.0,1,1,0,1,1,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2,52.0,895.5,1500.0,0.0,31.5,75.5,0.0
889,40,10,4.0,170.9,10,0,0,9,1,0,10,0,0,10,0,0,9,1,0,1,9,0,0,0,10,75.4,1457.8,1174.9,26.5,53.9,151.1,0.0
890,767,123,6.235772357723577,135.47967479674796,117,6,0,99,22,2,54,69,0,20,102,1,77,44,2,58,63,2,0,0,123,62.48780487804878,1769.5772357723577,2473.837398373984,96.69918699186992,55.6260162601626,238.1138211382114,0.0
891,7,1,7.0,827.0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,29.0,1495.0,1007.0,0.0,44.0,39.0,4.0
892,362,117,3.094017094017094,135.51282051282053,111,6,0,105,12,0,109,8,0,0,0,117,90,27,0,112,4,1,117,0,0,44.21367521367522,981.3931623931624,1024.8461538461538,0.0,41.452991452991455,96.23931623931624,9.760683760683762
893,32,4,8.0,66.75,4,0,0,3,1,0,2,2,0,0,0,4,3,1,0,2,2,0,4,0,0,56.5,1146.0,2354.5,0.0,55.25,89.0,5.5
894,571,74,7.716216216216216,448.18918918918916,49,24,1,42,32,0,67,7,0,35,37,2,0,0,74,50,23,1,0,0,74,57.9054054054054,1250.027027027027,1335.3108108108108,52.21621621621622,0.0,142.55405405405406,0.0
895,124,48,2.5833333333333335,2759.0833333333335,48,0,0,14,34,0,46,2,0,0,0,48,43,5,0,42,6,0,47,1,0,16.416666666666668,3156.3958333333335,351.8958333333333,0.0,17.229166666666668,44.145833333333336,4.541666666666667
896,459,77,5.961038961038961,76.37662337662337,77,0,0,74,3,0,27,49,1,74,3,0,62,14,1,62,15,0,0,0,77,82.83116883116882,1326.987012987013,1875.5584415584415,44.55844155844156,47.077922077922075,141.01298701298703,0.0
897,580,165,3.515151515151515,32.303030303030305,147,16,2,158,7,0,137,28,0,0,0,165,115,45,5,159,6,0,161,2,2,40.18787878787879,764.8181818181819,1311.8848484848486,0.0,27.060606060606062,89.19393939393939,8.8
898,511,79,6.468354430379747,64.51898734177215,61,17,1,54,25,0,26,53,0,40,36,3,23,55,1,50,28,1,0,0,79,62.69620253164557,1707.3291139240507,3072.6202531645567,51.58227848101266,72.15189873417721,201.32911392405063,0.0
899,146,27,5.407407407407407,88.81481481481481,27,0,0,25,2,0,18,9,0,26,1,0,15,12,0,18,7,2,0,0,27,72.92592592592592,1310.2592592592594,2224.3333333333335,44.370370370370374,46.111111111111114,137.62962962962962,0.0
900,112,8,14.0,29.25,6,2,0,5,3,0,0,0,8,0,0,8,6,2,0,7,1,0,7,1,0,96.25,956.125,0.0,0.0,32.875,68.25,16.25
901,384,87,4.413793103448276,26.482758620689655,71,16,0,86,1,0,83,4,0,0,0,87,77,10,0,86,1,0,62,22,3,74.7816091954023,1118.6666666666667,977.5632183908046,0.0,23.977011494252874,151.22988505747125,22.528735632183906
902,230,40,5.75,136.325,0,0,40,38,2,0,0,0,40,0,0,40,35,4,1,37,3,0,0,0,40,0.0,1032.95,0.0,0.0,40.475,137.825,0.0
903,251,72,3.486111111111111,128.44444444444446,41,31,0,48,24,0,63,9,0,72,0,0,59,13,0,46,25,1,0,0,72,61.93055555555556,984.4861111111111,1434.5694444444443,6.708333333333333,60.791666666666664,22.13888888888889,0.0
904,25,3,8.333333333333334,58.0,3,0,0,3,0,0,0,0,3,3,0,0,2,1,0,3,0,0,3,0,0,42.666666666666664,588.0,0.0,5.0,35.333333333333336,11.666666666666666,2.3333333333333335
905,14,2,7.0,90.0,2,0,0,2,0,0,0,0,2,0,0,2,0,1,1,1,1,0,0,0,2,46.0,1325.5,0.0,0.0,63.5,120.0,0.0
906,163,51,3.196078431372549,56.64705882352941,34,17,0,39,12,0,0,0,51,0,0,51,36,15,0,41,9,1,0,0,51,140.13725490196077,1995.6470588235295,0.0,0.0,62.372549019607845,223.2156862745098,0.0
907,103,17,6.0588235294117645,203.94117647058823,10,7,0,13,4,0,12,5,0,13,4,0,8,9,0,17,0,0,0,0,17,93.41176470588235,1760.1176470588234,1873.1176470588234,48.0,54.294117647058826,174.23529411764707,0.0
908,342,73,4.684931506849315,288.64383561643837,71,2,0,36,37,0,52,21,0,60,13,0,30,42,1,39,33,1,0,0,73,113.61643835616438,2155.095890410959,1692.109589041096,53.31506849315068,81.46575342465754,172.27397260273972,0.0
909,40,17,2.3529411764705883,46.588235294117645,17,0,0,17,0,0,9,8,0,14,3,0,17,0,0,15,2,0,0,0,17,50.64705882352941,1307.8235294117646,1826.0,81.70588235294117,35.705882352941174,206.2941176470588,0.0
910,72,7,10.285714285714286,54.142857142857146,6,1,0,6,1,0,0,0,7,0,0,7,5,2,0,4,3,0,0,0,7,44.57142857142857,1105.142857142857,0.0,0.0,37.57142857142857,144.71428571428572,0.0
911,305,46,6.630434782608695,143.8913043478261,40,5,1,44,2,0,13,33,0,37,9,0,44,2,0,38,8,0,0,0,46,100.26086956521739,1966.3695652173913,3130.3478260869565,67.6304347826087,57.608695652173914,237.2608695652174,0.0
912,85,16,5.3125,80.4375,15,1,0,15,1,0,10,6,0,8,7,1,10,6,0,15,1,0,0,0,16,53.875,1194.125,1733.5,54.3125,47.6875,139.375,0.0
913,352,60,5.866666666666666,174.38333333333333,60,0,0,52,8,0,0,0,60,51,8,1,45,14,1,42,17,1,57,2,1,80.36666666666666,1628.0166666666667,0.0,48.56666666666667,51.733333333333334,178.4,19.683333333333334
914,729,119,6.126050420168068,67.30252100840336,104,12,3,107,12,0,0,0,119,0,0,119,66,50,3,98,18,3,0,0,119,95.65546218487395,1402.2941176470588,0.0,0.0,53.47899159663866,138.42016806722688,0.0
915,3,3,1.0,66.33333333333333,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,14.666666666666666,211.33333333333334,0.0,18.333333333333332,7.666666666666667,7.0,0.6666666666666666
916,592,66,8.969696969696969,71.66666666666667,51,15,0,46,19,1,62,4,0,61,5,0,38,27,1,46,20,0,0,0,66,83.48484848484848,1183.1818181818182,963.3333333333334,31.515151515151516,51.57575757575758,89.84848484848484,0.0
917,554,116,4.775862068965517,231.2155172413793,93,21,2,65,51,0,94,22,0,104,9,3,36,77,3,106,10,0,0,0,116,72.32758620689656,1822.801724137931,1395.8620689655172,41.258620689655174,72.53448275862068,163.50862068965517,0.0
918,414,43,9.627906976744185,203.86046511627907,43,0,0,38,5,0,36,7,0,23,20,0,32,11,0,40,3,0,0,0,43,56.116279069767444,1476.6511627906978,757.1860465116279,38.58139534883721,54.651162790697676,139.11627906976744,0.0
919,345,99,3.484848484848485,39.63636363636363,98,1,0,83,16,0,69,30,0,0,0,99,66,30,3,37,61,1,98,1,0,82.08080808080808,1187.1616161616162,1791.2929292929293,0.0,57.98989898989899,82.44444444444444,8.606060606060606
920,304,58,5.241379310344827,93.01724137931035,56,2,0,56,2,0,58,0,0,24,33,1,53,4,1,48,9,1,0,0,58,32.3448275862069,1056.8620689655172,775.3793103448276,58.206896551724135,30.32758620689655,145.29310344827587,0.0
921,169,37,4.5675675675675675,219.24324324324326,19,18,0,36,1,0,35,2,0,17,19,1,20,16,1,19,18,0,0,0,37,47.432432432432435,999.2432432432432,993.8648648648649,49.86486486486486,29.62162162162162,89.37837837837837,0.0
922,184,31,5.935483870967742,1251.1935483870968,31,0,0,29,2,0,13,18,0,0,0,31,0,0,31,0,0,31,30,1,0,53.483870967741936,1465.1290322580646,2558.1612903225805,0.0,0.0,0.0,12.129032258064516
923,216,58,3.7241379310344827,33.310344827586206,54,3,1,45,13,0,0,0,58,0,0,58,44,14,0,30,27,1,0,0,58,26.896551724137932,874.8103448275862,0.0,0.0,32.01724137931034,127.01724137931035,0.0
924,326,179,1.8212290502793296,28.24022346368715,176,3,0,179,0,0,0,0,179,0,0,179,178,1,0,179,0,0,178,1,0,33.798882681564244,601.4692737430167,0.0,0.0,20.625698324022345,73.67597765363128,9.212290502793296
925,41,9,4.555555555555555,58.44444444444444,7,2,0,9,0,0,8,1,0,0,0,9,8,1,0,2,7,0,9,0,0,48.666666666666664,1062.888888888889,1559.0,0.0,20.666666666666668,164.11111111111111,14.333333333333334
926,204,53,3.849056603773585,32.41509433962264,37,16,0,44,9,0,41,12,0,0,0,53,36,15,2,35,18,0,0,0,53,58.735849056603776,736.0188679245283,1571.2264150943397,0.0,28.056603773584907,60.43396226415094,0.0
927,177,28,6.321428571428571,45.607142857142854,28,0,0,28,0,0,0,0,28,0,0,28,23,5,0,27,1,0,28,0,0,76.07142857142857,1002.0357142857143,0.0,0.0,43.357142857142854,73.42857142857143,10.035714285714286
928,828,171,4.842105263157895,132.2748538011696,128,42,1,110,61,0,0,0,171,0,0,171,91,76,4,96,75,0,89,78,4,86.35672514619883,1963.5087719298247,0.0,0.0,69.99415204678363,251.46198830409358,34.31578947368421
